device_description,vendor_id,product_id,manufacturer,location_id,usb_speed,power_mA,cpu_avg_percent,process_count,avg_process_runtime_sec,ftk_available,alt_usb_descriptor,source_type,cylinders,tracks_per_cylinder,sectors_per_track,bytes_per_sector,sector_count,drive_model,drive_interface,removable_drive,source_data_size_MB,keystroke_mean_ms,keystroke_std_ms,label
USB Mass Storage Device,1058,129,HP,USB\ROOT_HUB#3758,480 Mbps,186,19.400799355254232,87,5703.700953613377,1,WD External HDD VID=1058 PID=25a2,Physical,2625.925494235747,0.9793634231088816,0.9728026684378683,490.3589903842682,1430.858478736149,WD External HDD,USB,TRUE,0.7527620658605618,-2.235989695213342,0.14805314946659753,0
USB Mass Storage Device,1058,25a2,HP,USB\ROOT_HUB#8689,5 Gbps,433,5.7064828820938045,96,3830.5827384250333,1,WD External HDD VID=1058 PID=25a2,Physical,2932.213349598722,0.9980769232969651,0.9599827691120071,496.46638385949046,1267.053396805587,WD External HDD,USB,TRUE,1.242139885271002,-1.0040328742866533,-0.44723798595987085,0
USB Mass Storage Device,0bda,129,Generic,USB\ROOT_HUB#2442,480 Mbps,357,14.582872837979302,50,12562.935174195216,1,WD External HDD VID=1058 PID=25a2,Physical,1696.2144138119804,1.0258218983627798,1.0012381299685336,497.5801530843818,574.1473532723317,SD Card Reader,USB,TRUE,0.4439111400736502,0.07818508876172048,-0.14340941604596136,0
USB Mass Storage Device,058f,6387,Raspberry Pi,USB\ROOT_HUB#6160,12 Mbps,141,19.77567139116228,45,-51.70265495093895,1,Generic Flash Disk VID=058f PID=6387,Physical,2233.9266373802384,0.9956524981407319,0.9985455311872345,504.66192484192396,420.6880936426,Generic Flash Disk,USB,TRUE,0.8306283592755077,39.8081769531905,14.31488771179598,1
USB Input Device,046d,27db,SanDisk,USB\ROOT_HUB#5235,12 Mbps,147,7.867346956700998,87,10788.39017530507,0,Mouse USB Optical VID=046d PID=c077,Unknown,39.88647644709079,-1.0022709933791047,-1.0023106197737617,-12.177536285562905,-63.45846457828682,Unknown,Unknown,Unknown,-1.0148711911194583,194.6837902185627,50.932163900727,1
USB Input Device,16c0,27db,Generic,USB\ROOT_HUB#3634,12 Mbps,433,20.33326164630763,90,527.2406924879589,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,5.432940978582428,-0.9963061673042654,-1.0087141666707917,-23.92479717806186,-59.633937389515864,Unknown,Unknown,Unknown,-0.9938450495301341,26.62568371084889,30.011360391027466,1
USB Mass Storage Device,0bda,25a2,Generic,USB\ROOT_HUB#1625,480 Mbps,295,1.925491254910603,81,2194.0244804166314,1,SD Card Reader VID=0bda PID=0129,Physical,2560.873056644601,1.0234067070304569,0.9617377899996048,498.95334541046645,1458.3236458583024,WD External HDD,USB,TRUE,0.7230756197175555,1.810077399561517,-0.3853243659364334,0
USB Mass Storage Device,2e8a,000a,SanDisk,USB\ROOT_HUB#2418,12 Mbps,70,15.501409047413233,39,-242.8762078969687,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,1439.7270981096433,0.9717410933920401,0.9603135002859775,488.5910488323336,1104.8988635988203,Raspberry Pi Pico,USB,True,0.7460008229714038,27.793123607362425,52.64415855681743,1
USB Input Device,046d,c077,Generic,USB\ROOT_HUB#4136,5 Gbps,442,9.09906042465284,80,10710.456032610831,0,Mouse USB Optical VID=046d PID=c077,Unknown,27.613017546554797,-1.0738573712891497,-1.057869898524811,-29.150708365327986,-75.48016940523482,Unknown,Unknown,Unknown,-1.061223177891096,1.376860755689901,0.17289228757956865,0
USB Input Device,046d,c077,SanDisk,USB\ROOT_HUB#2331,480 Mbps,183,14.88482509856643,47,10022.343509202587,0,Logitech USB Keyboard VID=046d PID=c31c,Unknown,31.07115973591091,-1.0158229516373416,-0.998487709256032,-19.018512042945126,-9.181420041657148,Unknown,Unknown,Unknown,-0.979827258633168,83.23132384161397,-0.821978604488687,0
USB Mass Storage Device,0bda,6387,Logitech,USB\ROOT_HUB#7706,12 Mbps,269,15.62047533686373,60,2108.4247029259855,1,Generic Flash Disk VID=058f PID=6387,Physical,2204.6289260124495,1.029339278701348,1.0425770376035204,494.8708481205778,893.0268447978713,Generic Flash Disk,USB,TRUE,0.8693129712052102,-0.28383978727338455,0.006517310583203817,1
USB Mass Storage Device,0bda,25a2,Logitech,USB\ROOT_HUB#3479,480 Mbps,274,18.189478448896747,46,8301.147447728494,1,SD Card Reader VID=0bda PID=0129,Physical,2733.462294061984,1.0358776621125498,1.0057909715986448,498.30153620831624,327.29031885204427,SD Card Reader,USB,TRUE,0.3709207491543418,2.07853917877761,0.3812258522433958,0
USB Mass Storage Device,058f,6387,Generic,USB\ROOT_HUB#1770,5 Gbps,227,9.692668219117209,39,12121.493065456545,1,WD External HDD VID=1058 PID=25a2,Physical,941.7343959636644,1.0270716823729407,0.9830767697572378,496.7729671543791,1422.5543791577074,WD External HDD,USB,TRUE,1.0735200767206823,1.4047468434946802,-0.20695530282627905,0
USB Input Device,046d,c077,Raspberry Pi,USB\ROOT_HUB#1464,5 Gbps,429,3.557579573630135,44,12439.680509206619,0,Logitech USB Keyboard VID=046d PID=c31c,Unknown,15.027315176311344,-1.0382697846016915,-1.0105636719928117,-14.141257152461192,-71.94559890427728,Unknown,Unknown,Unknown,-1.0072893883745788,-0.6887083329887276,0.24309963587605288,0
USB Mass Storage Device,058f,6387,SanDisk,USB\ROOT_HUB#3479,12 Mbps,93,5.032546813811383,41,764.5336206828509,1,Generic Flash Disk VID=058f PID=6387,Physical,2436.9664225292754,1.004149593747809,1.0191227796721425,491.80526536108226,814.3309806883876,Generic Flash Disk,USB,TRUE,0.6859347380637483,123.38395261881816,0.3569446534862233,1
USB Mass Storage Device,0bda,129,Arduino,USB\ROOT_HUB#9483,5 Gbps,160,18.271413358399496,47,11024.749392853899,1,SD Card Reader VID=0bda PID=0129,Physical,2672.949718321331,0.9909328193836482,0.9756439606618165,504.9775473680791,2504.3614454439635,SD Card Reader,USB,TRUE,0.41311287724393864,2.5414686046752037,-0.3495358072959458,0
USB Mass Storage Device,0bda,129,WD,USB\ROOT_HUB#3319,480 Mbps,259,5.386848872649457,59,7803.019972216511,1,WD External HDD VID=1058 PID=25a2,Physical,827.1394599097176,1.040095173003104,1.013722648923235,499.167273546136,1229.1314746199803,SD Card Reader,USB,TRUE,0.29414392663620015,1.798195035851995,-0.1069429084523904,0
USB Input Device,16c0,27db,Raspberry Pi,USB\ROOT_HUB#8758,12 Mbps,180,15.464860783447039,50,7213.31502854427,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,31.848787221280936,-0.961422144388895,-0.9964193689222627,-18.586799771360525,11.950703995629288,Unknown,Unknown,Unknown,-0.9794130131443437,106.0723403271617,24.610927288651425,1
USB Mass Storage Device,0bda,25a2,WD,USB\ROOT_HUB#1487,5 Gbps,189,7.132147254813218,88,5643.132086821327,1,WD External HDD VID=1058 PID=25a2,Physical,2406.989831916659,1.0323218841979798,0.9815277778017222,497.7552056378003,2471.959192368751,WD External HDD,USB,TRUE,0.5792926824243325,-0.8087065338433835,-0.16756150231069888,0
USB Mass Storage Device,2e8a,000a,Arduino,USB\ROOT_HUB#4913,12 Mbps,92,7.406726963625917,45,99.68528073453672,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,974.144596263867,0.9751702193575751,0.9648317717762097,491.14825789191497,1017.4087601578785,Raspberry Pi Pico,USB,True,0.5095895037047501,122.71463096857937,31.78876208437304,1
USB Input Device,046d,27db,Raspberry Pi,USB\ROOT_HUB#8781,12 Mbps,103,13.702176597993937,58,11842.31427793076,0,Mouse USB Optical VID=046d PID=c077,Unknown,-12.96305354292416,-1.0572444696494587,-1.0355575867690743,-16.847573901606353,-68.08567601239257,Unknown,Unknown,Unknown,-1.031089098820098,-3.351694163721833,-0.3305354023660517,0
USB Mass Storage Device,2e8a,000a,Generic,USB\ROOT_HUB#3622,12 Mbps,68,9.29760082719176,49,589.2755318044996,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,1267.9643805238784,0.9627598869326441,0.9815394404876319,490.3735398596057,2368.7633873658297,Raspberry Pi Pico,USB,True,0.7973016376971923,79.18170702613703,28.16812738697022,1
USB Mass Storage Device,058f,6387,SanDisk,USB\ROOT_HUB#5002,480 Mbps,131,17.298561696323883,68,1064.2909454642559,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,2385.7818765855554,0.9802001042750604,1.0050317305483831,500.4166130075995,674.3620739406988,Raspberry Pi Pico,USB,TRUE,1.004951048566225,-1.6699351957060928,47.79522250320378,0
USB Mass Storage Device,2e8a,000a,HP,USB\ROOT_HUB#9031,480 Mbps,94,14.464052032071855,49,11016.618415234274,1,Generic Flash Disk VID=058f PID=6387,Physical,2603.523797581299,1.0087342540503812,1.0145440218264639,498.3592134726345,1221.7893393639997,Raspberry Pi Pico,USB,TRUE,1.1196815148159214,101.78725084494073,22.019678330566204,1
USB Mass Storage Device,058f,6387,Raspberry Pi,USB\ROOT_HUB#4950,12 Mbps,291,11.579510080301489,42,30.490439816432627,1,Generic Flash Disk VID=058f PID=6387,Physical,1659.7367139483622,1.011970574325616,0.9880112642155028,506.69408968745125,346.42750748622393,Generic Flash Disk,USB,TRUE,1.0020449197062873,123.81645992823772,42.774153592394214,1
USB Mass Storage Device,2e8a,6387,SanDisk,USB\ROOT_HUB#8927,12 Mbps,189,13.91936903851748,52,1046.8535762742622,1,Generic Flash Disk VID=058f PID=6387,Physical,835.1420265532289,1.0162526665492406,1.0154551760770159,505.50046598522454,1708.781064417149,Generic Flash Disk,USB,TRUE,1.0617177768484094,-0.3948365051035341,26.508279615321726,1
USB Mass Storage Device,058f,6387,Raspberry Pi,USB\ROOT_HUB#5358,12 Mbps,108,7.835070902717395,55,860.0802382751452,1,Generic Flash Disk VID=058f PID=6387,Physical,1515.2696260862135,0.943990093765712,0.982003632770246,496.635387299381,336.7897949864203,Generic Flash Disk,USB,True,0.22473192242334367,-1.857524102590718,-0.16364471849342843,1
USB Mass Storage Device,2e8a,000a,Generic,USB\ROOT_HUB#1020,12 Mbps,447,14.252602655745495,52,139.92988883198973,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,1039.9444108500888,1.000304084375764,0.976503506934602,506.7725863555629,488.54748201549046,Raspberry Pi Pico,USB,True,1.1454489619458663,108.52366621923932,36.82150528639694,1
USB Input Device,16c0,27db,HP,USB\ROOT_HUB#9921,12 Mbps,342,4.762811379545228,86,572.169050754251,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,26.516131622013205,-1.0233188866253977,-0.9962258738820001,-20.080535159095103,-67.741469304064,Unknown,Unknown,Unknown,-1.012096043286276,31.719938331787226,46.910217274900134,1
USB Mass Storage Device,2e8a,000a,Raspberry Pi,USB\ROOT_HUB#5549,480 Mbps,125,19.196893258593565,84,1185.4950963673748,1,WD External HDD VID=1058 PID=25a2,Physical,1269.048234972684,1.0177810986749884,1.0002560503055216,502.9327737875893,872.4888324702188,Generic Flash Disk,USB,TRUE,0.861607887807488,-0.22648807618929379,34.47517908752571,1
USB Mass Storage Device,0bda,129,Raspberry Pi,USB\ROOT_HUB#7871,5 Gbps,312,13.473375724788417,41,13248.835240371422,1,SD Card Reader VID=0bda PID=0129,Physical,622.3469844476033,0.9837764341178493,0.9798592492417935,496.86675272396275,1238.8980897785787,SD Card Reader,USB,TRUE,0.5539140908550997,-0.4110521911237286,0.1620612046890033,0
USB Mass Storage Device,2e8a,000a,WD,USB\ROOT_HUB#4180,12 Mbps,74,7.722727025696811,78,-214.48429246197747,1,Generic Flash Disk VID=058f PID=6387,Physical,1523.9127622577805,0.9418861167820228,0.9846474356608906,496.54025354324244,802.2020368948736,Raspberry Pi Pico,USB,True,0.3363236929817218,-1.3464300650084855,24.82525751753053,1
USB Input Device,16c0,27db,HP,USB\ROOT_HUB#9579,12 Mbps,83,10.502071660016144,53,-119.93894208001757,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,6.591554133193838,-1.0580284949173853,-0.9911809192185231,-17.617284143567254,-30.62700864731722,Unknown,Unknown,Unknown,-1.013727202048854,90.45358376312277,44.96954403405374,1
USB Mass Storage Device,058f,6387,Generic,USB\ROOT_HUB#3267,12 Mbps,96,16.46057849835013,48,281.0580381789671,1,Generic Flash Disk VID=058f PID=6387,Physical,2293.201913034086,0.9851963661273578,0.9897936452032347,509.86183936111973,1160.8402739760734,Generic Flash Disk,USB,TRUE,0.2886733138802774,0.016529420762600888,0.025099911203045444,1
USB Input Device,16c0,27db,Generic,USB\ROOT_HUB#3943,12 Mbps,68,10.700475994044993,45,5045.311703115465,0,Raspberry Pi Pico VID=2e8a PID=000a,Unknown,67.44042704218081,-1.0773973368926089,-1.036783116916609,-13.926707238643628,-17.130770627240224,Unknown,Unknown,Unknown,-1.0236684677491958,117.34453054503139,45.140659673916694,1
USB Input Device,16c0,c077,SanDisk,USB\ROOT_HUB#6960,12 Mbps,71,9.713838285735276,53,651.3005661931936,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,-25.72566171681202,-0.9952944097992255,-0.9875689883061333,-15.317058528645905,-45.135959883311635,Unknown,Unknown,Unknown,-1.047241522181602,142.25763538571366,43.89940701460843,1
USB Mass Storage Device,058f,6387,Raspberry Pi,USB\ROOT_HUB#6887,480 Mbps,105,9.677357892646345,51,12253.419651707873,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,1213.2767209558415,0.9823656758064039,1.0096566364016635,504.6321203976836,226.245821293395,Generic Flash Disk,USB,TRUE,0.9650446661351084,46.93063159345319,-0.3038661488567137,1
USB Input Device,046d,c31c,SanDisk,USB\ROOT_HUB#6481,480 Mbps,124,5.356306426360366,90,9968.764343715697,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,63.621130495333404,-0.9799870958841592,-0.9812833456985763,-9.59039300068129,-44.76373484679768,Unknown,Unknown,Unknown,-1.0233272564420175,201.74475576272448,45.83769219640938,0
USB Mass Storage Device,1058,25a2,Arduino,USB\ROOT_HUB#2377,12 Mbps,215,9.155010876322855,72,10396.731402269706,1,WD External HDD VID=1058 PID=25a2,Physical,841.2563860807454,0.9598406242013209,0.9503076861764367,496.1855447490336,1271.217092581191,WD External HDD,USB,TRUE,0.7775389447980436,-1.1272083400095931,-0.6645773172632985,1
USB Mass Storage Device,1058,25a2,Arduino,USB\ROOT_HUB#8017,5 Gbps,153,15.726940212036261,52,8897.187731542897,1,WD External HDD VID=1058 PID=25a2,Physical,858.2849560885211,0.971111363663756,0.9874811335088259,507.25468662425726,1682.205582483046,WD External HDD,USB,TRUE,0.8955893869564844,0.28553956229592303,-0.5423348169527074,0
USB Input Device,046d,c077,Generic,USB\ROOT_HUB#9219,480 Mbps,373,6.539998617025306,61,13021.520204344859,0,Logitech USB Keyboard VID=046d PID=c31c,Unknown,27.20404875093267,-1.0643925845099058,-1.0386073413978654,-21.796842707368093,-61.75422633701282,Unknown,Unknown,Unknown,-0.9959302653930385,-0.5350222179380769,-0.3894928726706095,0
USB Mass Storage Device,2e8a,000a,HP,USB\ROOT_HUB#6136,12 Mbps,109,7.508365052804889,58,430.4477971894836,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,2931.0049854768167,0.9872937058101228,0.9979910582781875,491.3083284563529,1279.708914098192,Raspberry Pi Pico,USB,True,0.4091386430070528,107.08417010514704,46.76026958535961,1
USB Input Device,16c0,27db,SanDisk,USB\ROOT_HUB#6609,12 Mbps,112,9.375750511839135,57,10701.90179655049,0,Logitech USB Keyboard VID=046d PID=c31c,Unknown,27.107875112317085,-0.9764724172209079,-0.9466999647265264,-13.236707819732908,-73.38040137861182,Unknown,Unknown,Unknown,-0.9690864299254557,94.07803387296974,18.714788162162705,1
USB Mass Storage Device,1058,25a2,HP,USB\ROOT_HUB#5305,5 Gbps,210,3.5329444063559885,55,12528.07820088978,1,Generic Flash Disk VID=058f PID=6387,Physical,1944.482631922569,0.9409709870647712,0.9823052408110241,499.4206009398258,737.3911211407984,SD Card Reader,USB,TRUE,0.33732425463480653,-0.6410260114811193,0.0366971234731821,0
USB Input Device,16c0,27db,HP,USB\ROOT_HUB#9594,12 Mbps,222,9.68303640448672,51,660.8305052588756,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,-29.932058082413175,-1.0601497514875713,-1.0433744717999043,-16.732047987476626,-58.9364753778277,Unknown,Unknown,Unknown,-1.0276665559194578,162.09156676545012,18.58167361281109,1
USB Mass Storage Device,2e8a,000a,Raspberry Pi,USB\ROOT_HUB#1719,12 Mbps,105,15.492133694369823,65,233.3968474179096,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,2036.4437261125008,0.9736665822917083,0.9761612236964039,498.7209478280339,1122.5058225479281,Raspberry Pi Pico,USB,True,0.7553902104781677,98.52407092231917,41.97603842937971,1
USB Mass Storage Device,1058,25a2,Raspberry Pi,USB\ROOT_HUB#2728,480 Mbps,418,6.200293129924099,95,11247.25389028951,1,Generic Flash Disk VID=058f PID=6387,Physical,2649.5260534396352,0.9852052059849876,1.0275419687250047,501.734424342033,2417.5442398069818,SD Card Reader,USB,TRUE,0.7131126101164695,0.5357284637413448,-0.7844183561768265,0
USB Input Device,16c0,27db,SanDisk,USB\ROOT_HUB#1081,480 Mbps,153,14.537566602591202,63,354.344877451961,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,29.309516007436184,-1.0331319055835917,-1.0164163841838691,-15.351611193378394,-89.33240039033132,Unknown,Unknown,Unknown,-1.0162997441115926,55.08706010203882,-0.6142650584486036,0
USB Input Device,046d,c31c,Arduino,USB\ROOT_HUB#7399,12 Mbps,431,3.3329417427643215,78,12140.027293993197,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,-14.685657892964603,-0.9752173034135864,-0.9806474230683415,-9.026872573832156,2.7482231214133894,Unknown,Unknown,Unknown,-1.0274355285632426,-1.6484670609048462,-0.7307170956901963,0
USB Input Device,16c0,c077,Raspberry Pi,USB\ROOT_HUB#8796,12 Mbps,118,9.00403680891791,87,688.3936351040511,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,49.69052759735585,-0.9947436994541428,-1.0219919349197577,-16.284615171061418,-68.40821225894783,Unknown,Unknown,Unknown,-1.0039478171420817,173.36073278309115,0.18959009350768596,0
USB Input Device,046d,c077,SanDisk,USB\ROOT_HUB#9662,5 Gbps,179,8.602509527576151,45,3041.8875794311048,0,Mouse USB Optical VID=046d PID=c077,Unknown,-17.187141989294545,-0.9434591917706747,-1.0158700827203666,-16.569781711083223,-65.81175484783294,Unknown,Unknown,Unknown,-1.003295323181467,-0.09647653575173587,-0.06034908941982464,0
USB Input Device,16c0,27db,Generic,USB\ROOT_HUB#3392,12 Mbps,80,9.956135680597107,57,8338.779353882743,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,10.629567571426952,-1.0108714079285912,-0.9862189508819243,-17.212201003948746,-31.71061252700968,Unknown,Unknown,Unknown,-1.015042656055587,62.066366985824565,18.208429082715497,1
USB Mass Storage Device,058f,27db,SanDisk,USB\ROOT_HUB#5854,12 Mbps,292,3.766854327482919,68,6557.206747687091,1,SD Card Reader VID=0bda PID=0129,Physical,1055.6689415717797,0.9785057435769811,0.9754235133787089,515.0785094791065,2231.2315805270755,SD Card Reader,USB,TRUE,0.3711417331569323,-0.7385653078293872,-0.8861519176058936,0
USB Input Device,046d,c31c,SanDisk,USB\ROOT_HUB#7330,480 Mbps,316,10.387262428991598,45,357.0452522545444,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,23.53286293152695,-1.0261210878565834,-0.9907878066514564,-14.909432461947254,-100.23539417385548,Unknown,Unknown,Unknown,-1.024939843341324,-0.8017635181938106,-0.238758155729074,0
USB Mass Storage Device,2e8a,6387,Raspberry Pi,USB\ROOT_HUB#1736,12 Mbps,91,13.717379424618041,69,417.6446651610421,1,Generic Flash Disk VID=058f PID=6387,Physical,3169.4295577221105,0.9933121159555263,0.9822030263767909,495.1910206497416,437.5842709728103,Generic Flash Disk,USB,TRUE,1.1809079338621404,62.76828493963141,18.470695711098625,1
USB Input Device,16c0,27db,SanDisk,USB\ROOT_HUB#2687,12 Mbps,403,18.205998774256877,43,-184.70991976737946,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,45.139790641152715,-1.0524258599383987,-1.0129323803031998,-18.812248539951867,-50.9266313565738,Unknown,Unknown,Unknown,-1.0752665230773144,106.72685032072393,18.647500545824403,1
USB Mass Storage Device,058f,6387,Raspberry Pi,USB\ROOT_HUB#6055,12 Mbps,89,15.285122388521938,47,337.63307292262084,1,Generic Flash Disk VID=058f PID=6387,Physical,2536.8977124589865,0.9539423156210639,0.9980002377789504,496.17521405431296,295.6957601070539,Generic Flash Disk,USB,TRUE,0.770997107628288,88.56415630291754,21.33598601909108,1
USB Input Device,16c0,27db,HP,USB\ROOT_HUB#5629,12 Mbps,126,8.8564828893519,51,1282.0271560933534,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,10.04219949231729,-1.0135385146034093,-0.9816533284955326,-14.048442399542038,-39.579282307574,Unknown,Unknown,Unknown,-0.9840559596253117,-0.647392575042276,30.285830613742338,1
USB Mass Storage Device,0bda,129,Arduino,USB\ROOT_HUB#2726,480 Mbps,236,13.110768526039859,44,2084.781434465659,1,SD Card Reader VID=0bda PID=0129,Physical,1204.5032016091513,1.0304554850550218,1.009969705638859,495.22202590176613,1259.0250060130727,SD Card Reader,USB,TRUE,0.21244001672694401,1.5209107254993857,-0.050440742860086596,0
USB Input Device,046d,c31c,Raspberry Pi,USB\ROOT_HUB#1368,480 Mbps,167,6.715968376856922,51,12817.347615567362,0,Logitech USB Keyboard VID=046d PID=c31c,Unknown,-15.25169714092968,-1.032900728515939,-0.9957138668823524,-19.310309101963764,-40.03140736153802,Unknown,Unknown,Unknown,-1.0409896096318318,-0.7066170329937465,-0.3377960449262478,0
USB Input Device,16c0,27db,SanDisk,USB\ROOT_HUB#3269,12 Mbps,231,10.872435487895888,52,4326.944192554778,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,60.192562438512404,-1.0200551960245503,-0.986323831502605,-15.45357575663895,-18.588095331604833,Unknown,Unknown,Unknown,-1.0484514838475247,102.98757385426612,15.095266184031521,1
USB Mass Storage Device,058f,6387,Generic,USB\ROOT_HUB#3757,12 Mbps,143,15.738951173117918,48,11652.113366733518,1,Generic Flash Disk VID=058f PID=6387,Physical,2611.3695338595726,0.9896381901337307,0.9872453888273978,497.3542837230959,707.9959312517619,Raspberry Pi Pico,USB,TRUE,1.060392640732742,182.75309305472211,44.81202652819499,1
USB Mass Storage Device,1058,25a2,WD,USB\ROOT_HUB#9213,5 Gbps,401,17.061087147343745,47,10744.17940216463,1,WD External HDD VID=1058 PID=25a2,Physical,1852.8597499793502,0.9974318087594778,1.0075947020771694,502.51566856966383,2633.64645440894,WD External HDD,USB,TRUE,0.5185632221002223,2.4663885772974536,-0.5627025448510483,0
USB Input Device,16c0,27db,Arduino,USB\ROOT_HUB#8340,12 Mbps,113,18.965979379407553,67,4423.775600443907,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,31.260748576646648,-1.025413319195438,-1.0438848814228883,-23.912516327925772,-37.97857430500841,Unknown,Unknown,Unknown,-1.03385656386973,94.77960795494012,49.67622201130962,1
USB Mass Storage Device,2e8a,000a,WD,USB\ROOT_HUB#2040,12 Mbps,108,13.178057071209755,46,136.75316734321564,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,986.903537540473,1.0044692054673443,1.0003723339410964,498.8931095291402,1481.9448421383383,Raspberry Pi Pico,USB,TRUE,0.44134912026511863,83.02986450742046,41.51485760786532,1
